"V1","V2","V3","V4","V5","V6","V7","V8"
3.62300205208875,3.71945294853193,3.76208631806924,3.83008656835987,3.89775514008078,3.95139267154349,4.04861929382412,4.12595827861138
1.22496454834018,1.19908132684467,1.20166283722262,1.20941000354299,1.23925124312541,1.25082801187086,1.2504609638447,1.29025414259517
1.38526837790652,1.35756298511314,1.37774018463164,1.38291262586358,1.43198261079935,1.44817269761583,1.45187449434576,1.47588524523329
3.62343332634702,3.72026975349252,3.76293659264772,3.83090893135239,3.89875994489206,3.95229948806872,4.04933164293896,4.12549781633663
1.2093551380481,1.18461695212691,1.18496569827956,1.19142741410352,1.22913159237312,1.23337117553835,1.23972486604172,1.26478889006137
1.37332525142236,1.34813089975998,1.36624000690088,1.37716231538489,1.43168205035839,1.42562354378043,1.45956753597521,1.45943875439744
3.62538760587695,3.72255392659799,3.76442965605578,3.83246997751869,3.90001544975246,3.95400573137419,4.05095874689313,4.12941436161922
1.19847264320712,1.17145189223777,1.1683118001116,1.17233568887479,1.2156952233519,1.22279417811204,1.22751065757137,1.27401804272968
1.36015221154635,1.33389177782218,1.34394255544934,1.3562332204585,1.4115193262748,1.4255480033075,1.44439593298786,1.46897291242529
3.62802825745314,3.72499631087841,3.76703451387289,3.83519787478187,3.90300746995206,3.95641261742274,4.05344867908836,4.13011992365024
1.15938864279559,1.15031777955847,1.14921946649094,1.15894100301301,1.20296694113349,1.2126152531508,1.21835715229986,1.25471426380166
1.3379801521582,1.32485629213568,1.33822451859152,1.35605549587541,1.40925827359954,1.42823694795345,1.45314293956925,1.45068285198177
