"V1","V2","V3","V4","V5","V6","V7","V8"
1,1,1,1,1,1,1,1
0.95825,0.948222222222224,0.953599999999999,0.953454545454548,0.957833333333334,0.962923076923077,0.964428571428571,0.945066666666669
0.937,0.910000000000002,0.929199999999998,0.931454545454548,0.929833333333334,0.933999999999999,0.924142857142857,0.860266666666671
1,1,1,1,1,1,1,1
0.96175,0.947111111111114,0.953999999999998,0.954181818181821,0.956666666666668,0.963076923076922,0.963428571428572,0.942800000000002
0.93675,0.909555555555559,0.928799999999998,0.936181818181821,0.928666666666669,0.928615384615384,0.929571428571429,0.864666666666671
1,1,1,1,1,1,1,1
0.96225,0.946222222222225,0.951599999999998,0.953272727272731,0.955666666666668,0.961384615384614,0.963285714285714,0.946000000000002
0.93875,0.908222222222225,0.926199999999998,0.931636363636367,0.929500000000001,0.935999999999999,0.928142857142857,0.860533333333338
1,1,1,1,1,1,1,1
0.95325,0.94466666666667,0.946199999999998,0.946727272727277,0.954500000000002,0.961230769230768,0.96057142857143,0.941466666666669
0.94275,0.918222222222225,0.935799999999998,0.935636363636367,0.933833333333335,0.943076923076922,0.929428571428571,0.862933333333337
