time,ave_topic_distribution,pred_scoreInflation,0,5,6,11,13,17,18,2,10,16,19,1,4,8,15,14,3,12,9,7,unem,cpi_lastmonth_100
2020/3/30,"{0: 0.01767025229447501, 5: 0.03756410802862592, 6: 0.029914207742939354, 11: 0.16956316806732563, 13: 0.015770468289630097, 17: 0.04546284513186176, 18: 0.08780174960600438, 2: 0.06443633604991869, 10: 0.035814113913871425, 16: 0.03550279826479539, 19: 0.07444137842758004, 1: 0.03703034470783878, 4: 0.036697372956453755, 8: 0.04882775833138098, 15: 0.025107687216747977, 14: 0.03435851281104909, 3: 0.01175808139988208, 12: 0.06495838978451345, 9: 0.05660713354790599, 7: 0.034239313700775195}",0.758572325,0.017670252,0.037564108,0.029914208,0.169563168,0.015770468,0.045462845,0.08780175,0.064436336,0.035814114,0.035502798,0.074441378,0.037030345,0.036697373,0.048827758,0.025107687,0.034358513,0.011758081,0.06495839,0.056607134,0.034239314,5.9,98.8
2022/3/10,"{0: 0.025196315309535987, 4: 0.03729161178741323, 5: 0.04241818795901111, 6: 0.03124074341358265, 7: 0.032232516484398316, 10: 0.025328258140266575, 11: 0.16446533465632404, 12: 0.06315502468015087, 13: 0.01879911060462476, 16: 0.030047739630785015, 17: 0.04955342173523487, 18: 0.08289161651289997, 19: 0.09215768202346289, 1: 0.03897660368703234, 8: 0.04537555549125712, 14: 0.03688097510343343, 9: 0.059813482966321226, 15: 0.02009340950221322, 2: 0.058049351958302124, 3: 0.013501405688092391}",0.757007948,0.025196315,0.042418188,0.031240743,0.164465335,0.018799111,0.049553422,0.082891617,0.058049352,0.025328258,0.03004774,0.092157682,0.038976604,0.037291612,0.045375555,0.02009341,0.036880975,0.013501406,0.063155025,0.059813483,0.032232516,5.8,100.0
2022/4/13,"{0: 0.030217134383963253, 1: 0.053138724241331495, 2: 0.07946725069492801, 5: 0.03437400024889177, 7: 0.030611747361716346, 10: 0.01898280854693989, 11: 0.15508153147421222, 12: 0.07181806575616229, 18: 0.06489534579068161, 19: 0.08612672590149167, 3: 0.01203616771652058, 4: 0.026571465370463274, 6: 0.02894603445957135, 8: 0.04629311334131315, 9: 0.061309495313533136, 13: 0.014485756801174171, 14: 0.04932983707818495, 15: 0.02139463826715424, 16: 0.03277338489230199, 17: 0.04749785212851704}",0.812779109,0.030217134,0.034374,0.028946034,0.155081531,0.014485757,0.047497852,0.064895346,0.079467251,0.018982809,0.032773385,0.086126726,0.053138724,0.026571465,0.046293113,0.021394638,0.049329837,0.012036168,0.071818066,0.061309495,0.030611747,6.1,100.4
2020/4/9,"{5: 0.03685346888038657, 8: 0.14298006827746124, 11: 0.1588328296470218, 13: 0.017724286138848105, 17: 0.053654777171006265, 1: 0.0466165542222783, 4: 0.03215391038312574, 12: 0.05344723542047742, 14: 0.024514530589481175, 18: 0.07543420385654988, 19: 0.05237558876112899, 2: 0.05131220359131707, 10: 0.015453190119839698, 16: 0.049651986558658816, 7: 0.029201445251386075, 9: 0.04304682320421814, 6: 0.025974613704886112, 15: 0.020672450358195635, 0: 0.015094248074399134, 3: 0.015332220129077163}",0.862482514,0.015094248,0.036853469,0.025974614,0.15883283,0.017724286,0.053654777,0.075434204,0.051312204,0.01545319,0.049651987,0.052375589,0.046616554,0.03215391,0.142980068,0.02067245,0.024514531,0.01533222,0.053447235,0.043046823,0.029201445,6.0,99.1
2022/8/4,"{1: 0.03407493029862102, 4: 0.028254655706519936, 5: 0.03885075641826841, 7: 0.025209633728242493, 8: 0.04113222111482173, 13: 0.012249713832635891, 17: 0.03840990504305016, 19: 0.051043786296337455, 0: 0.061426757013150535, 10: 0.020068576476244368, 2: 0.10415710753883156, 9: 0.0647319677358931, 11: 0.14358701277358973, 12: 0.09630841664508667, 18: 0.06792572530060684, 6: 0.0340812671408116, 14: 0.034958687408207345, 16: 0.038997376075988396, 3: 0.013154112181019579, 15: 0.01551209655090908}",0.78532444,0.061426757,0.038850756,0.034081267,0.143587013,0.012249714,0.038409905,0.067925725,0.104157108,0.020068576,0.038997376,0.051043786,0.03407493,0.028254656,0.041132221,0.015512097,0.034958687,0.013154112,0.096308417,0.064731968,0.025209634,5.3,99.9
2020/8/14,"{0: 0.03698608831762642, 11: 0.13847356127475005, 13: 0.012714129024007247, 17: 0.032467773136678056, 1: 0.07015046462340645, 2: 0.06204009398554239, 5: 0.04158918979666298, 15: 0.018164540805590965, 19: 0.03401214172384634, 6: 0.031207200269693463, 12: 0.05575679782543308, 18: 0.06312890012938269, 7: 0.0857976014853561, 8: 0.04547178601673414, 10: 0.03057310119228806, 9: 0.05146623305258828, 16: 0.03336988456526024, 4: 0.07728628952787145, 3: 0.012258820113061768, 14: 0.03236915207108353}",0.821072434,0.036986088,0.04158919,0.0312072,0.138473561,0.012714129,0.032467773,0.0631289,0.062040094,0.030573101,0.033369885,0.034012142,0.070150465,0.07728629,0.045471786,0.018164541,0.032369152,0.01225882,0.055756798,0.051466233,0.085797601,5.6,100.4
2023/10/15,"{8: 0.04369075523260371, 17: 0.05921715735802871, 18: 0.08656144396940622, 0: 0.021007279951033374, 1: 0.0299731266098006, 2: 0.05752987917116803, 3: 0.013077958542072589, 4: 0.02947859699682197, 5: 0.03811005028504996, 6: 0.053059815845865756, 7: 0.023846523996735702, 9: 0.0628132297278161, 10: 0.02290726716735543, 11: 0.20713820513380646, 12: 0.06746556126768821, 13: 0.015265337995530065, 14: 0.030769043998971436, 15: 0.017149197916612072, 16: 0.02928402846318545, 19: 0.05635340385072656}",0.733794239,0.02100728,0.03811005,0.053059816,0.207138205,0.015265338,0.059217157,0.086561444,0.057529879,0.022907267,0.029284028,0.056353404,0.029973127,0.029478597,0.043690755,0.017149198,0.030769044,0.013077959,0.067465561,0.06281323,0.023846524,5.0,99.9
2019/12/29,"{0: 0.026318117850151, 2: 0.03931295525250713, 4: 0.04378239071511163, 5: 0.0388404648404018, 8: 0.05316728869776144, 9: 0.06803850759084015, 11: 0.19984649955604136, 17: 0.050143530972429594, 18: 0.07586844155536984, 1: 0.04536209643621006, 3: 0.015038144872055192, 6: 0.044935291666912444, 7: 0.02366511599146771, 10: 0.03827364061115513, 12: 0.06361319416300323, 13: 0.017947723136564647, 19: 0.034040517598885156, 16: 0.02809289523561902, 14: 0.03929168285415119, 15: 0.01646355109157667}",0.768503111,0.026318118,0.038840465,0.044935292,0.1998465,0.017947723,0.050143531,0.075868442,0.039312955,0.038273641,0.028092895,0.034040518,0.045362096,0.043782391,0.053167289,0.016463551,0.039291683,0.015038145,0.063613194,0.068038508,0.023665116,5.2,100.0
2019/12/11,"{0: 0.021744381849247544, 1: 0.04693060106337728, 3: 0.013942912150341796, 5: 0.06377582689210555, 11: 0.15451190438812795, 12: 0.058154412945832616, 13: 0.014868695490721635, 17: 0.03960817604656181, 6: 0.032179972131718346, 14: 0.0563195482030437, 15: 0.018672222019408668, 19: 0.036765601214043014, 2: 0.05774040201251085, 4: 0.05097219770220125, 7: 0.04954066214251566, 8: 0.04322734289025353, 9: 0.07087014859857056, 18: 0.07461130344710766, 10: 0.016196880869871415, 16: 0.04380798343515631}",0.776437032,0.021744382,0.063775827,0.032179972,0.154511904,0.014868695,0.039608176,0.074611303,0.057740402,0.016196881,0.043807983,0.036765601,0.046930601,0.050972198,0.043227343,0.018672222,0.056319548,0.013942912,0.058154413,0.070870149,0.049540662,5.2,100.0
